Название;Компания;Сегмент;Код;Широта;Долгота;Топливо;Категория;Цена;Дата
КИНЕФ;SPIMEX;spimex;PT_59_4786_32_0475;59.4786;32.0475;ДТ (ДТ-З-К5) минус 35, КИНЕФ (самовывоз автотранспортом);ДтЗ;81984.0;05.03
НБ Чулман-Транс;SPIMEX;spimex;PT_55_6687_52_192;55.6687;52.192;"Бензин (АИ-98-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Чулман-транс (самовывоз автотранспортом)";Бензин;92000.0;05.03
НБ Тамбовская;SPIMEX;spimex;PT_52_6833_41_4582;52.6833;41.4582;"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, Тамбовская НБ
(самовывоз автотранспортом)";Бензин;61300.0;05.03
НБ Тамбовская;SPIMEX;spimex;PT_52_6833_41_4582;52.6833;41.4582;"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Тамбовская НБ
(самовывоз автотранспортом)";Бензин;63000.0;05.03
Воронежский цех;SPIMEX;spimex;PT_51_6479_39_305;51.6479;39.305;"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Воронежский цех
(самовывоз автотранспортом)";Бензин;61846.0;05.03
Воронежский цех;SPIMEX;spimex;PT_51_6479_39_305;51.6479;39.305;"ДТ ЕВРО класс 1 (ДТ-З-К5) минус 26, Воронежский цех
(самовывоз автотранспортом)";Бензин;62300.0;05.03
НПНБ ЮНК;SPIMEX;spimex;PT_45_0138_41_1233;45.0138;41.1233;"ДТ ЕВРО сорт F (ДТ-Е-К5) минус 20, НПНБ ЮНК (самовывоз
автотранспортом)";Бензин;66000.0;05.03
НБ Губкинская;SPIMEX;spimex;PT_51_3059_37_3131;51.3059;37.3131;"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Губкинская (самовывоз
автотранспортом)";Бензин;61500.0;05.03
Лискинский цех;SPIMEX;spimex;PT_51_0099_39_4196;51.0099;39.4196;"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, Лискинский цех
(самовывоз автотранспортом)";Бензин;61773.0;05.03
НБ Пром-Нефть-Сервис;SPIMEX;spimex;PT_51_3495_39_2951;51.3495;39.2951;"ДТ ЕВРО сорт C (ДТ-Л-К5) минус 5, НБ Пром-Нефть-Сервис
(самовывоз автотранспортом)";Бензин;62389.0;05.03
