code,lat,lon,name,"Наименование
товара",,,,,,,
A692SLM010A,"53,3833641","55,90545",НБ Салаватская,бензин (АИ-92-К5),,,,,,,
A692SLN005A,"56,0526129","37,1523485",НС Солнечногорская,бензин (АИ-92-К5),,,,,,,
A692SLS005A,"46,4630997","41,5334371",НБ Сальская,бензин (АИ-92-К5),,,,,,,
A692SMK005A,"54,6547016","32,1847961",НБ Смоленская,бензин (АИ-92-К5),,,,,,,
A692SMP025A,"61,2651385","73,2433785",НБ СТХ,бензин (АИ-92-К5),,,,,,,
A692SNR005A,"45,1005857","41,9580573",БП Санкт-Петербург-150,бензин (АИ-92-К5),,,,,,,
A692SPO005A,"45,0138229","41,123315",БП Ставрополь,бензин (АИ-92-К5),,,,,,,
A692SRZ025A,"54,9296173","83,1380541",НБ СТРЕЖТРАНССЕРВИС,бензин (АИ-92-К5),,,,,,,
A692SSB005A,"49,0579952","40,3707369",НБ Спектр,бензин (АИ-92-К5),,,,,,,
A692SVB005A,"55,646317","109,3528967",НБ Северобайкальская,бензин (АИ-92-К5),,,,,,,
A692SVS005A,"51,4242504","45,9605991",НБ Увекская,бензин (АИ-92-К5),,,,,,,
A692SVZ005A,"55,8377148","48,5413606",НБ Связь-Петролеум,бензин (АИ-92-К5),,,,,,,
A692SYC005A,"53,177549","48,5569431",НБ Сызранская,бензин (АИ-92-К5),,,,,,,
A692SZE005A,"60,7380977","77,544569",Стрежевской НПЗ,бензин (АИ-92-К5),,,,,,,
A692TEZ025A,"43,0593496","44,712463",НБ Терминал,бензин (АИ-92-К5),,,,,,,
A692TIC005A,"45,8548161","40,1257418",НБ Тихорецкая,бензин (АИ-92-К5),,,,,,,
A692TIS005A,"55,9487439","97,9959766",Тайшетский ТПУ Нижнеудинского цеха,бензин (АИ-92-К5),,,,,,,
A692TIV005A,"45,6130849","38,9862155",НБ Тимашевская,бензин (АИ-92-К5),,,,,,,
A692TLU005A,"54,2114639","37,6337708",НБ Тульская,бензин (АИ-92-К5),,,,,,,
A692TMB005A,"52,6833083","41,4581817",НБ Тамбовская,бензин (АИ-92-К5),,,,,,,
A692TMO005A,"56,5555945","84,9227979",НБ Томская перевалочная,бензин (АИ-92-К5),,,,,,,
A692TNR005A,"56,0325932","92,7878671",НБ Трансреал,бензин (АИ-92-К5),,,,,,,
A692TNZ005A,"56,1877086","42,7788859",НБ Транзит-Сервис,бензин (АИ-92-К5),,,,,,,
A692TPK005A,"56,117544","47,3125767",НБ Волганефтьхолдинг,бензин (АИ-92-К5),,,,,,,
A692TUK005A,"54,5968863","100,5319687",Тулунский цех,бензин (АИ-92-К5),,,,,,,
A692TUY010A,"54,6130287","53,7030576",НБ Туймазинская,бензин (АИ-92-К5),,,,,,,
A692UEN025A,"66,0954923","76,6734614",НБ Уренгойтехинком-сервис,бензин (АИ-92-К5),,,,,,,
A692UFS010A,"54,8619244","56,113541",НБ Уфимская,бензин (АИ-92-К5),,,,,,,
A692UKK005A,"52,570442","39,492598",БП Курск,бензин (АИ-92-К5),,,,,,,
A692ULD005A,"51,860508","107,550359",НБ Улан-Удэнская,бензин (АИ-92-К5),,,,,,,
A692ULS005A,"54,2450467","48,3296602",НБ г. Ульяновск,бензин (АИ-92-К5),,,,,,,
A692URF005A,"60,1269213","64,7696959",ТПП Урайнефтегаз,бензин (АИ-92-К5),,,,,,,
A692URT005A,"61,2835729","73,2066849",БП Сургут-25,бензин (АИ-92-К5),,,,,,,
A692VAC005A,"43,0757531","44,687552",НБ Владикавказ,бензин (АИ-92-К5),,,,,,,
